predicted_class     0     1     2    3    4  5
parsed_register                               
HI                232  2936   865  133    9  0
HI-IN             384  1742  1401  404   89  1
ID               1960  3036   441   58    2  0
IN               1425  4332  2210  840  125  3
IP               3307  2905   107   10    1  0
LY                480  2968   261    7    0  0
MT               3061  2195   201    9    0  0
NA               1893  5094   364   24    4  0
OP                897  3902  1301  127    1  0
SP                121  3017   667   49    5  0
dtp              1544  5742  1981  637   96  0
ne                503  4123  1362  156   18  0
